Index,Index_Coded,Format_FillDown,Series_FillDown,SeriesCN_FillDown,Series_Indice,SeriesCN_Indice,TICKER,TICKER_SUFFIX,TICKER_FULL,Index_GM,Index_Writer,RESIDENCE,Index_UST,Index_CURVE,Index_RMBRATES,Index_CNYCNHSPD,IS_1YR,IS_5YR
1,,Indice_Equity,EQUITY,股票市场,,,,," ",1,,环球市场概览,,,,,,
2,22,,INDU,道琼斯工业平均指数,,,INDU,Index,INDU Index,2,1,环球市场概览,,,,,,
3,23,,SP500,标普500指数,,,SPX,Index,SPX Index,3,1,环球市场概览,,,,,,
4,24,,NASDAQ,纳斯达克综合指数,,,CCMP,Index,CCMP Index,4,1,环球市场概览,,,,,,
5,25,,FTSE100,英国富时100指数,,,UKX,Index,UKX Index,5,,环球市场概览,,,,,,
6,26,,NK225,日经225指数,,,NKY,Index,NKY Index,6,,环球市场概览,,,,,,
7,27,,HSI,恒生指数,,,HSI,Index,HSI Index,7,2,环球市场概览,,,,,,
8,28,,SHCOMP,上证指数,,,SHCOMP,Index,SHCOMP Index,8,2,环球市场概览,,,,,,
9,4,Indice,VIX,波动率指数,,,VIX,Index,VIX Index,9,1,环球市场概览,,,,,VIX,
10,,,CDS,*信用违约息差,,,,," ",16,,环球市场概览,,,,,,
11,3,,,,ITRXAEJ_IG5Y,iTraxx亚洲除日本外投资级5年期,ITRX EXJP IG CDSI GEN 5Y,Corp,ITRX EXJP IG CDSI GEN 5Y Corp,17,,环球市场概览,,,,,ITRX,
12,,,BD,*债券指数,,,,," ",18,,环球市场概览,,,,,,
13,43,,,,KUNGFUTOTAL,彭博中资美元债指数,I29380US,Index,I29380US Index,19,,环球市场概览,,,,,,
14,1,,,,KUNGFUIG,彭博中资投资级美元债指数,I29382US,Index,I29382US Index,20,,环球市场概览,,,,,BBGBD,
15,2,,,,KUNGFUHY,彭博中资高收益级美元债指数,I29381US,Index,I29381US Index,21,,环球市场概览,,,,,BBGBD,
16,,,CMDT,*大宗商品,,,,," ",22,,环球市场概览,,,,,,
17,44,,,,OIL,布伦特原油,C01,Comdty,C01 Comdty,23,,环球市场概览,,,,,,
18,45,,,,GOLD,黄金,GOLDLNPM,Index,GOLDLNPM Index,24,,环球市场概览,,,,,,
19,,,FX,*外汇,,,,," ",25,,环球市场概览,,,,,,
20,16,,,,DXY,美元指数,DXY,Curncy,DXY Curncy,26,3,环球市场概览,,,,,,RMBFX
21,,,RMBDEPO,人民币存款余额,,,,," ",,,点心债,,,,,,
22,13,,,,SG,新加坡,SIRMBDEP,Index,SIRMBDEP Index,,,点心债,,,,,,RMBPOOL
23,14,,,,TW,台湾,TWRMTTL,Index,TWRMTTL Index,,,点心债,,,,,,RMBPOOL
24,15,,,,HK,香港,HKRDTTL,Index,HKRDTTL Index,,,点心债,,,,,,RMBPOOL
25,,Rates,UST,美国国债利率,,,,," ",11,,美国国债利率,,,,,,
26,5,,,,3M,3个月,USGG3M,Index,USGG3M Index,,4,美国国债利率,1,,,,,USTGP
27,6,,,,2Y,2年期,USGG2YR,Index,USGG2YR Index,12,4,美国国债利率,2,1,,,,USTGP
28,7,,,,3Y,3年期,USGG3YR,Index,USGG3YR Index,,4,美国国债利率,3,,,,,USTGP;CGBSPD
29,8,,,,5Y,5年期,USGG5YR,Index,USGG5YR Index,13,4,美国国债利率,4,2,,,,USTGP
30,10,,,,7Y,7年期,USGG7YR,Index,USGG7YR Index,,,美国国债利率,,3,,,,
31,9,,,,10Y,10年期,USGG10YR,Index,USGG10YR Index,14,4,美国国债利率,5,4,,,,USTGP
32,11,,,,30Y,30年期,USGG30YR,Index,USGG30YR Index,15,4,美国国债利率,6,5,,,,
33,,,CGB,中国国债利率,,,,," ",,,美国国债利率,,,,,,
34,33,,,,1Y,1年期,GCNY1YR,Index,GCNY1YR Index,,,点心债,,,,1,,
35,34,,,,2Y,2年期,GCNY2YR,Index,GCNY2YR Index,,,点心债,,,,2,,
36,12,,,,3Y,3年期,GCNY3YR,Index,GCNY3YR Index,,,中美利差,,,,3,,CGBSPD
37,35,,,,5Y,5年期,GCNY5YR,Index,GCNY5YR Index,,,点心债,,,2,4,,
38,36,,,,10Y,10年期,GCNY10YR,Index,GCNY10YR Index,,,点心债,,,3,5,,
39,29,,CNYREPO,在岸人民币回购利率,7D,7天,OR007,BGN Curncy,OR007 BGN Curncy,,,点心债,,,1,,,
40,30,,CNYIRS7P,在岸人民币7天回购利率互换,2Y,2年期,CINR7P2Y,Index,CINR7P2Y Index,,,点心债,,,4,,,
41,31,,,,3Y,3年期,CINR7P3Y,Index,CINR7P3Y Index,,,点心债,,,5,,,
42,32,,,,5Y,5年期,CINR7P5Y,Index,CINR7P5Y Index,,,点心债,,,6,,,
43,19,,CNHIRS,离岸人民币利率互换,2Y,2年期,CNHSQQ2,BGN Curncy,CNHSQQ2 BGN Curncy,,,点心债,,,8,,CNHIRS,
44,20,,,,3Y,3年期,CNHSQQ3,BGN Curncy,CNHSQQ3 BGN Curncy,,,点心债,,,9,,CNHIRS,
45,21,,,,5Y,5年期,CNHSQQ5,BGN Curncy,CNHSQQ5 BGN Curncy,,,点心债,,,10,,CNHIRS,
46,37,,CNHB,离岸人民币国债利率,1Y,1年期,CNHBYR1,Index,CNHBYR1 Index,,,点心债,,,,1,,
47,38,,,,2Y,2年期,CNHBYR2,Index,CNHBYR2 Index,,,点心债,,,,2,,
48,39,,,,3Y,3年期,CNHBYR3,Index,CNHBYR3 Index,,,点心债,,,,3,,
49,40,,,,5Y,5年期,CNHBYR5,Index,CNHBYR5 Index,,,点心债,,,,4,,
50,41,,,,10Y,10年期,CNHBYR10,Index,CNHBYR10 Index,,,点心债,,,,5,,
51,42,,CNHHIBOR,香港同业人民币拆息,1M,1个月,HICNH1M,Index,HICNH1M Index,,,点心债,,,7,,,
52,18,CCY,CNH,离岸人民币汇率,USD,美元兑,CNH,BGN Curncy,CNH BGN Curncy,28,3,环球市场概览,,,,,,RMBFX
53,17,,CNY,在岸人民币汇率,USD,美元兑,CNY,Curncy,CNY Curncy,,,点心债,,,,,,RMBFX
54,,Spd,DAX*,计算,CGBUSTSPD,中美利差,,," ",,5,中美利差,,,,,,CGBSPD
55,,,,,CGBUSTSPD_AVG,平均中美利差,,," ",,,中美利差,,,,,,CGBSPD
